,tweet,tweet_clean
2260,"[Fakta Ve]Ve dulu punya anjing, namanya juno dan bruno. Tapi sekarang karena udah besar, jadi anjingnya dipindahin ke rumah kakeknya.'",fakta ve ve dulu punya anjing namanya juno dan bruno tapi sekarang karena udah besar jadi anjingnya dipindahin ke rumah kakeknya
2261,"Diduga Masalah Ekonomi, Seorang Guru SD Nekat Gantung Diri: KBRN, Semarangâ?¦",diduga masalah ekonomi seorang guru sd nekat gantung diri kbrn semaranga
2262,USER USER USER Menemukan jalan yg benar diorganisasi yg diharamkan seperti babi dan dilarang seperti PKI? \n\xf0\x9f\x98\x81',menemukan jalan yg benar diorganisasi yg diharamkan sepei babi dan dilarang sepei pki
2263,Bu silvi anti pns level rendah katanya #DebatFinalPilkadaJKT,bu silvi anti pns level rendah katanya
2264,USER USER USER USER USER USER USER USER USER USER USER Doa #2019GantiPresiden selalu kusebut. Moga terkabul. Sudah banyak daerah yg diserbu TKA ASENG. Gawattt.',doa selalu kusebut moga terkabul sudah banyak daerah yg diserbu tka aseng gawattt
2265,"RT USER: Man teman, kita perlu berterima kasih pada toilet, sehingga tidak perlu mengubur tai kita seperti kucing.'",man teman kita perlu beerima kasih pada toilet sehingga tidak perlu mengubur tai kita sepei kucing
2266,"Tipikal bani 212 bin onta kampret : cepat memuji org yg dihormati, cepat juga mencaci nya kembali.... salam TGB ... ngoahaha #BubarkanPKS'",tipikal bani     bin onta kampret cepat memuji org yg dihormati cepat juga mencaci nya kembali salam tgb ngoahaha
2267,"USER USER USER USER Harus begitu. Kita itu harus ""Strict""deh pokoknya kl menyangkut kebijakan politik dalam negeri &amp; luar negeri yg menyangkut sama pihak asing. Kita jgn haram meniru negara komunis dlm melindungi keut",harus begitu kita itu harus strict deh pokoknya kl menyangkut kebijakan politik dalam negeri luar negeri yg menyangkut sama pihak asing kita jgn haram meniru negara komunis dlm melindungi keut
2268,Integrasi Agama dan Budaya sebagai Pondasi Peradaban Bangsa,integrasi agama dan budaya sebagai pondasi peradaban bangsa
2269,USER Kakak kampungan cuyih',kakak kampungan cuyih
2270,"Catatan:\n\nGerakan Reformasi adalah gerakan moral rakyat dan mahasiwa dipimpin oleh Amien Rais dkk adalah produk yg diinisiasi distimulir, dirancang oleh CSIS, Elit Katolik, Konglo Tionghoa, dan antek2nya\n\nReformasi adalah tunggangan mereka\nReformasi",catatan gerakan reformasi adalah gerakan moral rakyat dan mahasiwa dipimpin oleh amien rais dkk adalah produk yg diinisiasi distimulir dirancang oleh csis elit katolik konglo tionghoa dan antek nya reformasi adalah tunggangan mereka reformasi
2271,#2019GantiPresiden scra konstitusional itu hak setiap rakyat woii! . Gini nih kalo klo planga plongo tp kelakuan otoriter.,scra konstitusional itu hak setiap rakyat woii gini nih kalo klo planga plongo tp kelakuan otoriter
2272,"Jadi ingat dialog Neo dgn Oracle di The Matrix. \nOracle: ""Apa yang diinginkan seorang penguasa?\nNeo: (hening)....... \nOracle: Kekuasaan yang lebih besar.'",jadi ingat dialog neo dgn oracle di the matrix oracle apa yang diinginkan seorang penguasa neo hening oracle kekuasaan yang lebih besar
2273,"#NowPepatahPetitih bersama Sucipto Hadi Purnomo - dosen budaya Jawa di Jurusan Sastra Jawa Unnes. Tema â??Aja Gumunan, Aja Getunan, Aja Kagetan, Aja Alemanâ??.",bersama sucipto hadi purnomo dosen budaya jawa di jurusan sastra jawa unnes tema a aja gumunan aja getunan aja kagetan aja alemana
2274,"USER Iya, aman karena mayoritas Rakyatnya yaitu umat Islam yg hatinya sering bapak sakiti, sukses mengendalikan diri, sukses menjaga emosinya untuk kepentingan persatuan bangsa. Lah bapak sendiri sebagai Presiden malah memelihara cebong yg ke",iya aman karena mayoritas rakyatnya yaitu umat islam yg hatinya sering bapak sakiti sukses mengendalikan diri sukses menjaga emosinya untuk kepentingan persatuan bangsa lah bapak sendiri sebagai presiden malah memelihara cebong yg ke
2275,Qaumi ekjayati conference Jamiat ul ulama e hind ki public meeting se Barrister Asad uddin owaisi,qaumi ekjayati conference jamiat ul ulama e hind ki public meeting se barrister asad uddin owaisi
2276,Penghina Iriana Jokowi Langsung Ditangkap Penghina Wapres JK Masih AMAN. ADA APA? URL,penghina iriana jokowi langsung ditangkap penghina wapres jk masih aman ada apa url
2277,"USER Den...den...\nNista banget hidup lo..\nUdah fitnah Abu Jibriel gak minta maaf, sekarang bikin fitnah baru lagi.\nDan followermu, menyedihkan banget tingkat kecerdasannya....\nMain setuja setuju ae mbek congormu.\nBosok, su....'",den den nista banget hidup lo udah fitnah abu jibriel gak minta maaf sekarang bikin fitnah baru lagi dan followermu menyedihkan banget tingkat kecerdasannya main setuja setuju ae mbek congormu bosok su
2278,"Selain di Surabaya, bom juga meledak di rusunawa wonocolo, Sidoarjo. Para petinggi polisi di Jawa Timur menduga kuat ini ada kaitannya dengan kejadian yg ada di Surabaya. Dengan memakan korban sebanyak 5 orang. 3 orng meninggal dunia termasu pelaku Anton",selain di surabaya bom juga meledak di rusunawa wonocolo sidoarjo para petinggi polisi di jawa timur menduga kuat ini ada kaitannya dengan kejadian yg ada di surabaya dengan memakan korban sebanyak   orang   orng meninggal dunia termasu pelaku anton
2279,"USER Emangnya lo siapa, sontoloyo si pengecut'",emangnya lo siapa sontoloyo si pengecut
2280,USER org kaya gitu emg maunya bayinya dibunuh aja. polisi moral keparat',org kaya gitu emg maunya bayinya dibunuh aja polisi moral keparat
2281,"kalo di catatan harian menantu sinting, lakban = laki banget, sementara itu lakban menurut definisi df USER \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 URL",kalo di catatan harian menantu sinting lakban laki banget sementara itu lakban menurut definisi df url
2282,Gubernur Indonesia ngobrol dengan Presiden Turki ð???,gubernur indonesia ngobrol dengan presiden turki d
2283,USER USER USER USER USER Apa beda nya sama bani kampret kayak anda bro... Mudah di provokasi \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x86',apa beda nya sama bani kampret kayak anda bro mudah di provokasi
2284,USER brisik lu bacot',brisik lu bacot
2285,USER Wah brengsek nih. Ketauan yg punya bisa mampus aku. :((',wah brengsek nih ketauan yg punya bisa mampus aku
2286,"""Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian."" (3 idiot). #TweetDSAP'",kita akan belajar giat dengan penuh dedikasi tapi bukan hanya untuk lulus ujian   idiot
2287,"Kata Opung, tenaga kerja asal China, semua punya skill khusus, sehingga buruh pribumi tidak layak untuk membangun proyek pemerintah.; ; Tapi nyatanya TKA asal China itu juga banyak unskilled labour nya!; ; Jadi, 10 juta lapangan pekerjaan baru itu, sebenar",kata opung tenaga kerja asal china semua punya skill khusus sehingga buruh pribumi tidak layak untuk membangun proyek pemerintah tapi nyatanya tka asal china itu juga banyak unskilled labour nya jadi    juta lapangan pekerjaan baru itu sebenar
2288,Beli barang pengiriman dr cina biasanya paket transit cin-indo cuma 3 hari napa ini seminggu\xf0\x9f\x98\xa2',beli barang pengiriman dr cina biasanya paket transit cin indo cuma   hari napa ini seminggu
2289,USER USER iih...cebong cebong....gagal paham kali kau....ga salah kalau udah kena virus cebong...jadi dungu...hahahaha ga bisa trima kenyataan yah....kasihan deh lo.',iih cebong cebong gagal paham kali kau ga salah kalau udah kena virus cebong jadi dungu hahahaha ga bisa trima kenyataan yah kasihan deh lo
2290,"USER USER USER Coba aja pak USER punya sifat keras seperti endorgan sedikit saja, mungkin mereka yang nuduh PKI itu udah masuk Lapas kali ya,; Salut sama bapak presiden kita USER sabarnya tingkat dewa; Maju terus pak ; #2019TetapJokow",coba aja pak punya sifat keras sepei endorgan sedikit saja mungkin mereka yang nuduh pki itu udah masuk lapas kali ya salut sama bapak presiden kita sabarnya tingkat dewa maju terus pak
2291,"USER klo jaman dki yg dimainkan isu cina ,kapir. sekarang yg cina kapir justru dari keluarga si ono. silit eh sulit lah'",klo jaman dki yg dimainkan isu cina kapir sekarang yg cina kapir justru dari keluarga si ono silit eh sulit lah
2292,"Kata orang nyasar itu rugi banget, tapi aku gak ngerasa rugi karena cintaku sudah nyasar kehati kamu'",kata orang nyasar itu rugi banget tapi aku gak ngerasa rugi karena cintaku sudah nyasar kehati kamu
2293,Terkadang mending terlihat seperti bajingan dan bangsat sekalian daripada yg terlihat kalem dan alim tapi tau tau bikin malu orang tua...',terkadang mending terlihat sepei bajingan dan bangsat sekalian daripada yg terlihat kalem dan alim tapi tau tau bikin malu orang tua
2294,USER USER berani bubarkan KPK?? akan berhadapan dengan rakyat kau anjing,berani bubarkan kpk akan berhadapan dengan rakyat kau anjing
2295,"Woohoo, lumayan juga ternyata wifi di rumah nih~ \npenolong saat kuota habis sebekum waktunya.. kampret nih tri~ \xf0\x9f\x98\xaa URL",woohoo lumayan juga ternyata wifi di rumah nih penolong saat kuota habis sebekum waktunya kampret nih tri url
2296,Buat apa nyerang pemerintah Jokowi yg bentar lagi berhenti berkuasa?Lengserkan di pemilihan presiden mendatang.,buat apa nyerang pemerintah jokowi yg bentar lagi berhenti berkuasa lengserkan di pemilihan presiden mendatang
2297,RT USER: USER Truss Lantas Jokowi yg kamu tuduh Melakukannya?? Kalau benar itu tuduhannmu??..sungguh Akal dan Akhlak mu sebaga\xe2\x80\xa6',truss lantas jokowi yg kamu tuduh melakukannya kalau benar itu tuduhannmu sungguh akal dan akhlak mu sebaga
2298,USER ya lu bacot bngst',ya lu bacot bngst
2299,Antropologi fisik:; 1. Paleo Anthropology; 2. Somatologi; Antropologi budaya:; 1. Arkeologi; 2. Etnolinguistik; 3. Etnologi; 4. Antropologi sosial,antropologi fisik   paleo anthropology   somatologi antropologi budaya   arkeologi   etnolinguistik   etnologi   antropologi sosial
2300,USER USER bodo amat akun capek',bodo amat akun capek
2301,hestek tandingan dr #PersibTakutMainDiJakarta nggak nyambung dg fakta yg beredar .\n#VikingAnjing\n#PerSSIb\n#persLIB\n#LigaIndonesiaBandung\n#BotolKosong nyaring bunyinya macam congor mereka \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x9d\xf0\x9f\x98\x,hestek tandingan dr nggak nyambung dg fakta yg beredar n vikinganjing n perssib n perslib n ligaindonesiabandung n botolkosong nyaring bunyinya macam congor mereka xf  x f x   x   xf  x f x   x   xf  x f x   x d xf  x f x   x
2302,"Pengantar Presiden Joko Widodo pada Rapat Terbatas tentang Percepatan Pelaksanaan Berusaha (Online Single Submission/OSS), 18 April 2018, di Istana Kepresidenan Bogor, Jawa Barat;",pengantar presiden joko widodo pada rapat terbatas tentang percepatan pelaksanaan berusaha online single submission oss    april      di istana kepresidenan bogor jawa barat
2303,"USER \xe2\xa0\x80\n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80 \xe3\x80\x8c Saya! Saya! Yang dulu bisu, kini sudah bisa bagi cuap-cuap! \xe3\x80\x8d'",saya saya yang dulu bisu kini sudah bisa bagi cuap cuap
2304,USER Hanya membaca dn tai aja',hanya membaca dn tai aja
2305,Ombudsman RI: Setiap Hari Ada dua Pesawat Antar TKA Tiongkok ke Indonesia,ombudsman ri setiap hari ada dua pesawat antar tka tiongkok ke indonesia
2306,USER USER USER USER USER USER USER Hihihi..cebong rasa kampret tu gue kira cuma ada dlm dongeng.\nRupanya....\xf0\x9f\x98\x82',hihihi cebong rasa kampret tu gue kira cuma ada dlm dongeng rupanya
2307,"""Insyaallah bulan depan akan kita coba mulai tanggal 24 Mei. Nanti akan kita lihat apakah ada hal-hal yang perlu diperbaiki. Airport Kertajati bisa menampung kurang lebih 5,6 juta penumpang merupakanÂ airport terbesar setelah Soekarno-Hatta,â?? ujar Presiden.",insyaallah bulan depan akan kita coba mulai tanggal    mei nanti akan kita lihat apakah ada hal hal yang perlu diperbaiki airpo keajati bisa menampung kurang lebih     juta penumpang merupakana airpo terbesar setelah soekarno hatta a ujar presiden
2308,"Meski Tak Berambisi, Jokowi Siap Nyapres Jika Didukung Ulama",meski tak berambisi jokowi siap nyapres jika didukung ulama
2309,Seksyen 2 Mega #Utusan Malaysia 11April; #lebihdaripadapolitik; Beli #UtusanMalaysia atau langgan #islam #muslim #alquran #keluarga #wanita #kesihatan #hiburan #artis #budaya #sains #teknologi #alamsekitar #alumni #kampus #universiti #wira #tentera #polis,seksyen   mega malaysia   april beli atau langgan
2310,"USER Saya tiba2 langsung stroke, wekekkeke ini mah cuma orang picek aja yg gak tau'",saya tiba  langsung stroke wekekkeke ini mah cuma orang picek aja yg gak tau
2311,lihatlah Rakyat &amp; NKRI ini mending mundur aja pak Jokowi URL,lihatlah rakyat nkri ini mending mundur aja pak jokowi url
2312,"15. Terimakasih, selamat jalan, Ila jiwari robbihimul A`la jalla wa `alaa, Ra lilur sering mengingatkan kita bahwa ulama jika sudah cinta dunia, bahaya, bahaya, dawuh beliau, dawuh2 yg kadang memberi kita pelajaran sangat berharga, lahul fatihah... ð??¥ð??¥ð??¥",   terimakasih selamat jalan ila jiwari robbihimul a la jalla wa alaa ra lilur sering mengingatkan kita bahwa ulama jika sudah cinta dunia bahaya bahaya dawuh beliau dawuh  yg kadang memberi kita pelajaran sangat berharga lahul fatihah d y d y d y
2313,USER Kemaren beli babi namanya fadil',kemaren beli babi namanya fadil
2314,"USER dapet lah, stiap perbuatan kita, baik/buruk pst dapet balasan yg stimpal, kalo di hindu, balasannya bisa di kehidupan skrng atau di kehidupan yg akan datang'",dapet lah stiap perbuatan kita baik buruk pst dapet balasan yg stimpal kalo di hindu balasannya bisa di kehidupan skrng atau di kehidupan yg akan datang
2315,"USER Elu,omong apa culun??'",elu omong apa culun
2316,USER Mampus',mampus
2317,RT USER: Ngentot yukkk',ngentot yukkk
2318,"TKA China sdh berani melecehkan bendera Merah Putih...; ; Apakah kita akan diam saja..!!; ; Semakin TKA China banyak yg datang, semakin mrk AROGAN krn merasa kuat..; ; Apalagi didukung oleh Rezim Penguasa, dg kemudahan TKA China masuk ke NKRI.; ; Mau dijaj",tka china sdh berani melecehkan bendera merah putih apakah kita akan diam saja semakin tka china banyak yg datang semakin mrk arogan krn merasa kuat apalagi didukung oleh rezim penguasa dg kemudahan tka china masuk ke nkri mau dijaj
2319,Ketika Ulama dan Umara Bersatu | NU Online,ketika ulama dan umara bersatu nu online
2320,Pidex yg suka bash penipu lelang acc masih hidup? Yang dulu kek jijik sama jualan apps eh sekarang malah dia yg jualan apps :V mending lu jilat telapak kaki gue aja dex',pidex yg suka bash penipu lelang acc masih hidup yang dulu kek jijik sama jualan apps eh sekarang malah dia yg jualan apps v mending lu jilat telapak kaki gue aja dex
2321,RT USER USER BADMINTON PUTRI INDONESIA KOK KALAH SAMA JEPANG N CINA ...MEREKA BERMAIN LEPAS TIDAK GAMPANG MENYERAH KOMUNIS SEENAKNYA DI SINI,badminton putri indonesia kok kalah sama jepang n cina mereka bermain lepas tidak gampang menyerah komunis seenaknya di sini
2322,USER USER sejak lo dm pake capslock terus bilang gua cocot wkwk',sejak lo dm pake capslock terus bilang gua cocot wkwk
2323,mau cerita. laki2 emang brengsek ya. dasar cupu',mau cerita laki  emang brengsek ya dasar cupu
2324,"Jika mengaku SAYA PANCASILA dan SAYA INDONESIA, maka TAATILAH UU di Indonesia!\n\nSesuai Keppres No. 6/2000 dan SK MenAg Nomor MA/12/2006, agama yg diakui di NKRI : Islam, Kristen Protestan, Katolik, Hindu, Buddha dan Kong Hu Cu.\n\nDiluar itu, agamanya",jika mengaku saya pancasila dan saya indonesia maka taatilah uu di indonesia sesuai keppres no        dan sk menag nomor ma         agama yg diakui di nkri islam kristen protestan katolik hindu buddha dan kong hu cu diluar itu agamanya
2325,"USER USER Itulah contoh orang yang mau kerja untuk rakyatnya bukan untuk partainya loh.. Untuk rakyatnya... Ada wakil ketua dpr kita yg kerjaanya nyinyir dan nyinyir aja ke pemerintah, bukan kritik tapi nyela.. Coba dpr tugasnya apa? 3 t",itulah contoh orang yang mau kerja untuk rakyatnya bukan untuk paainya loh untuk rakyatnya ada wakil ketua dpr kita yg kerjaanya nyinyir dan nyinyir aja ke pemerintah bukan kritik tapi nyela coba dpr tugasnya apa   t
2326,USER USER Kalau saja beliau ini Projo pasti dapat gelar Kristen Nusantara\xf0\x9f\x98\x80',kalau saja beliau ini projo pasti dapat gelar kristen nusantara
2327,"PT20langgarkonstitusi Rezim otoriter ini gk habis-habis tabrak-tubruk UU, kali ini undang-undang Dasar pun mau dijebol..mk waktunya lengserkan jokowi",pt  langgarkonstitusi rezim otoriter ini gk habis habis tabrak tubruk uu kali ini undang undang dasar pun mau dijebol mk waktunya lengserkan jokowi
2328,"USER USER itu kerjaan cornelis, tionghoa yg stress gila'",itu kerjaan cornelis tionghoa yg stress gila
2329,USER Modal cebong cuma COPAS. Bukti kapasitas otak minimalis...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',modal cebong cuma copas bukti kapasitas otak minimalis
2330,USER USER USER Makasih aku memang unik ga kaya armeries udik',makasih aku memang unik ga kaya armeries udik
2331,Pekerja Seni Komersial kalo ngomong memang cuma copas. Isi kepalanya ya cuma eksis sama kontrak baru.. capee \xf0\x9f\x99\x84\xf0\x9f\x99\x84 #PSK URL,pekerja seni komersial kalo ngomong memang cuma copas isi kepalanya ya cuma eksis sama kontrak baru capee url
2332,"lengserkan jokowi! ""USER: Rejim anti subsidi adalah rejim anti kerakyatan. USER USER """,lengserkan jokowi rejim anti subsidi adalah rejim anti kerakyatan
2333,USER Nyamber juga dong...\n\nKulit leher kering kurang vit C..Cupang\n\nKulit bokong kering kurang vit C..Cebok\n\nHidup kurang bahagia kurang vit C..Cewek/Cowok',nyamber juga dong kulit leher kering kurang vit c cupang kulit bokong kering kurang vit c cebok hidup kurang bahagia kurang vit c cewek cowok
2334,"USER USER Boleh tanya, Deny ini Muslim atau Kristen ya?'",boleh tanya deny ini muslim atau kristen ya
2335,Babi haram babu halal hanya ulah Muhammad BEJAD mencatut nama Tuhan,babi haram babu halal hanya ulah muhammad bejad mencatut nama tuhan
2336,RT USER: Calon partai GUREM yang kurang GAREM URL,calon paai gurem yang kurang garem url
2337,4. Apa saja tulisan yang telah dibuat? USER #KUchat,  apa saja tulisan yang telah dibuat
2338,Eh kunyuk URL,eh kunyuk url
2339,USER Rezim penguasa yg jd korban pers rezim SBY,rezim penguasa yg jd korban pers rezim sby
2340,"USER Sepegetahuan gua ya. Soekarno itu sebagian pernikahan itu untuk politik, untuk Indonesia juga.; ; Lagi pula bagi gua gak aneh, seorang presiden hebat kayak beliau disukain banyak cwe,",sepegetahuan gua ya soekarno itu sebagian pernikahan itu untuk politik untuk indonesia juga lagi pula bagi gua gak aneh seorang presiden hebat kayak beliau disukain banyak cwe
2341,USER Selamat datang di tim yg dulunya berjaya sekarang menyisakan pemain2 burik \xf0\x9f\x98\x82',selamat datang di tim yg dulunya berjaya sekarang menyisakan pemain  burik
2342,"RT USER: jadi, setiap lewat tengah malam. jiwa sama raga nya ririn itu terpisah, jiwa nya ada di tempat gelap, sempit dan sepi. se\xe2\x80\xa6'",jadi setiap lewat tengah malam jiwa sama raga nya ririn itu terpisah jiwa nya ada di tempat gelap sempit dan sepi se
2343,USER kebalik opp:) eunbi ga rela disamain sma bom',kebalik opp eunbi ga rela disamain sma bom
2344,"Kalo ingat kata"" ini lucu hhhaa --&gt; yang budek kurasa org yg pnya hape itu hhhhaaaaa hapenya bolak balik bunyi ga diangkat. Oalah oalah!'",kalo ingat kata ini lucu hhhaa yang budek kurasa org yg pnya hape itu hhhhaaaaa hapenya bolak balik bunyi ga diangkat oalah oalah
2345,merantaulah kau akan dapatkan pengganti dari kerabat dan kawan imam syafii,merantaulah kau akan dapatkan pengganti dari kerabat dan kawan imam syafii
2346,"- lipstick di sapu tangan Bora.\n\nDan diriku dalam hati, ""Mampus malu luh. Makan tuh cipokan.""'",lipstick di sapu tangan bora dan diriku dalam hati mampus malu luh makan tuh cipokan
2347,.; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk Sriâ?¦,h imam munandar gubernur riau periode           dan           memperoleh gelar datuk sria
2348,"RT USER: USER jawab aja\n\nkak lo org nya asik\ntp sayang omongannya kaya org goblok,jd bikin ilfeel\nmaaf ya\ngausah kebanyakan ng\xe2\x80\xa6'",jawab aja kak lo org nya asik tp sayang omongannya kaya org goblok jd bikin ilfeel maaf ya gausah kebanyakan ng
2349,USER USER Makin sarap nih si jul... Bntr lagi sirosis dia.',makin sarap nih si jul bntr lagi sirosis dia
2350,USER Body bagus enak.ngentot lobang pantatmu say',body bagus enak ngentot lobang pantatmu say
2351,"USER Habis baca ini aku takut karena aku merasa 'insecure attachment' both ambivient dan disorganized ada dalam diri aku. Jadi aku cacat ya? Aku harus gimana untuk memperbaiki itu ka phoerange? Bagaimana ka USER menghadapi itu semua?""",habis baca ini aku takut karena aku merasa insecure attachment both ambivient dan disorganized ada dalam diri aku jadi aku cacat ya aku harus gimana untuk memperbaiki itu ka phoerange bagaimana ka menghadapi itu semua
2352,"Sebagai negara maju, ternyata segini gaji presiden AS dan pegawai pemerintahannya",sebagai negara maju ternyata segini gaji presiden as dan pegawai pemerintahannya
2353,"1 oktober hari kesaktian pancasila, tapi pancasila sekarang diversikan ke arah komunis rezim diktator yg anti islam,",  oktober hari kesaktian pancasila tapi pancasila sekarang diversikan ke arah komunis rezim diktator yg anti islam
2354,#FaktaFreeport Pemerintahan Soeharto yang menggantikan rezim Soekarno pun menerima Freeport dengan tangan terbuka. #AyoIndonesia #IndonesiaKuasaiFreeport #Freeport',pemerintahan soehao yang menggantikan rezim soekarno pun menerima freepo dengan tangan terbuka
2355,"USER USER USER USER USER Si rosa ini kok mukanya tugu peringatan kenapa nggak batu nissan.. yg gentle dong, nggak apa2 juga kaum cebong'",si rosa ini kok mukanya tugu peringatan kenapa nggak batu nissan yg gentle dong nggak apa  juga kaum cebong
2356,Kerjaan suharto dan sby pastik korupsi. Tangkap lahh URL,kerjaan suhao dan sby pastik korupsi tangkap lahh url
2357,"USER USER #TokohPerubahan adalah mereka yang telah memberikan kontribusi nyata berkelanjutan untuk memajukan suatu masyarakat dlm berbagai bidang; ekonomi, budaya, kesehatan, dsb serta mengajak masyarakat bersinergi untuk lebih ber",adalah mereka yang telah memberikan kontribusi nyata berkelanjutan untuk memajukan suatu masyarakat dlm berbagai bidang ekonomi budaya kesehatan dsb sea mengajak masyarakat bersinergi untuk lebih ber
2358,USER Islam Nusantara itu terbukti gagal merubah yahudi Israel untuk menjadi rahmah.',islam nusantara itu terbukti gagal merubah yahudi israel untuk menjadi rahmah
2359,RT USER USER USER USER USER USER Setujuuuu banget Jokowi mundur uda bosen ngeliatnye,setujuuuu banget jokowi mundur uda bosen ngeliatnye
2360,USER Onta ya beginilah.. kaga punya otak kaga bisa mikir..picik..',onta ya beginilah kaga punya otak kaga bisa mikir picik
2361,#MataNajwaDebatJakarta lucu banget jawaban ahok.. gak nyambung. Ditanya apa di jawab apa. Kena skak mat d pertanyaan isu agama tdi. Dasar cina tolol hahaha,lucu banget jawaban ahok gak nyambung ditanya apa di jawab apa kena skak mat d peanyaan isu agama tdi dasar cina tolol hahaha
2362,"USER IsNus baru netes dari telor kodok sejak si said Agil jd kolektor cebong, bang..\nDan dia cm idup dr sari2 comberan yg hasil buangan, makanya dia sll koar2 ttg IsNus.. \xf0\x9f\x98\x82\xf0\x9f\x98\x82'",isnus baru netes dari telor kodok sejak si said agil jd kolektor cebong bang dan dia cm idup dr sari  comberan yg hasil buangan makanya dia sll koar  ttg isnus
2363,USER Ko malah jadi ngebagus2in negara yg katanya kapir tat??.. jangan2 ustad mo hijrah k thailand ya',ko malah jadi ngebagus in negara yg katanya kapir tat jangan  ustad mo hijrah k thailand ya
2364,"Jadi kitab suci itu fiksi bukan?; ; - kalo dulu org bisa jelas jawab ""bukan"" ato ""fiksi"" dgn tanpa ragu. ; - jaman skr, menjawab itu membuka ""kelompok"" mana sisi politik, agama dan keberpihakan.",jadi kitab suci itu fiksi bukan kalo dulu org bisa jelas jawab bukan ato fiksi dgn tanpa ragu jaman skr menjawab itu membuka kelompok mana sisi politik agama dan keberpihakan
2365,"Mereka semua memang tidak bisa menghargai pribumi atau minimal berlaku sopan sebagai tamu,mereka itu sejatinya perampas hak pribumi...; #stopTKAChina; #2019GantiPresiden",mereka semua memang tidak bisa menghargai pribumi atau minimal berlaku sopan sebagai tamu mereka itu sejatinya perampas hak pribumi
2366,"Ayo gelorakan #2019GantiPresiden, insya Allah kesejahteraan merata. Komunis lenyap.",ayo gelorakan insya allah kesejahteraan merata komunis lenyap
2367,USER Semoga pak Jokowi dan para ulama selalu sehat. Aamiin...,semoga pak jokowi dan para ulama selalu sehat aamiin
2368,RT USER: Sebab tu tahun demi tahun semakin kurang peluang pekerjaan untuk rakyat sendiri. Warga asing ni semua dah bolot sektor se\xe2\x80\xa6',sebab tu tahun demi tahun semakin kurang peluang pekerjaan untuk rakyat sendiri warga asing ni semua dah bolot sektor se
2369,Rihanna ternyata ngga diet\nlah u siapa kampang ngomongin kalori',rihanna ternyata ngga diet lah u siapa kampang ngomongin kalori
2370,"USER Kao kalah Lae, dgn penjual pasar tradisional yg sadar #2019GantiPresiden laen kali kao perbanyak makan Mie Gomak lae.",kao kalah lae dgn penjual pasar tradisional yg sadar laen kali kao perbanyak makan mie gomak lae
2371,"USER USER Huhahahhahahaaa\nPengusaha kaya Raya saja nangis ber darah darah di Jaman jokowi ini sangking Susahnya Jaman dan rezim ini mengelola ekonomi negara yg gak bener!!!\nBeras mahal, sembako mahal, daya beli turun, masyarakat bawah bany",huhahahhahahaaa pengusaha kaya raya saja nangis ber darah darah di jaman jokowi ini sangking susahnya jaman dan rezim ini mengelola ekonomi negara yg gak bener beras mahal sembako mahal daya beli turun masyarakat bawah bany
2372,"USER USER Hati2 antek Yahudi, Liberal, LGBT, Syiah ...\n\nISLAM ya ISLAM, ALLAH SWT sudah sempurnakan dan ada dlm AL-QURAN ...\n\nAdakah ISLAM lain yg disebutkan dlm AL QURAN ...??'",hati  antek yahudi liberal lgbt syiah islam ya islam allah swt sudah sempurnakan dan ada dlm al quran adakah islam lain yg disebutkan dlm al quran
2373,USER Ava gw anjing dn gw monyet hadeh',ava gw anjing dn gw monyet hadeh
2374,USER - KTT Ulama-Cendekiawan Muslim dunia bahas Wasatiyat Islam,ktt ulama cendekiawan muslim dunia bahas wasatiyat islam
2375,Warga Pemuteran tolak Berita hoax dan dukung pilkada damai,warga pemuteran tolak berita hoax dan dukung pilkada damai
2376,USER Waktu nya ngewe',waktu nya ngewe
2377,Salam sejahtera Bagi saudara kristen katolik ku dimana saja .... Saya Heppy sekali',salam sejahtera bagi saudara kristen katolik ku dimana saja saya heppy sekali
2378,FIFA siasat isu `suara monyet\xe2\x80\x99 aksi Perancis-Russia\nURL URL via SinarOnline',fifa siasat isu suara monyet aksi perancis russia url url via sinaronline
2379,"USER USER Padahal semua jaringan hidup ya pasti punya potensi jadi habitat cacinglah. Sapi, babi, manusia pun :)))'",padahal semua jaringan hidup ya pasti punya potensi jadi habitat cacinglah sapi babi manusia pun
2380,RT USER: Kata USER bantuan ke Rohingya adalah Pencitraan trus emank bisa penderitaan warga Rohingya dibantu pake Demo??,kata bantuan ke rohingya adalah pencitraan trus emank bisa penderitaan warga rohingya dibantu pake demo
2381,Ahok cari - cari celah untuk serang para saksi DramaAhokDikriminalisasi penjarakan ahok,ahok cari cari celah untuk serang para saksi dramaahokdikriminalisasi penjarakan ahok
